name;maxspree;double;triple;quad;penta;ultra;god;kill normal;kill wrong;kill x2;death;steal;suicide (deprecated);shot;freeze;froze;hammer;hammered;avgping;wallshot;version;stolenfrom;max multi;green;gold;purple;kd;
An0dreX;24;4093;813;182;43;10;1;15828;130;8802;18540;3680;7764;146600;42606;37638;7180;5788;17;4436;10086;2128;7;5;0;0;1,34;24765
Ãark-Beetle;21;4028;699;123;22;2;0;14995;92;9215;17229;1961;15397;144848;43051;30944;3259;4018;19;4808;0;2380;6;338;2;8;1,43;24650
purrp T;28;2981;396;53;7;1;0;11099;131;11353;16535;1598;14856;163062;44478;35991;6291;5894;15;4993;10067;1995;6;614;131;9;1,41;23337
Gozu;18;3354;573;93;17;2;1;12748;166;9993;17789;4101;14667;139357;41373;36770;6446;5393;0;4115;0;2255;7;368;1;0;1,31;23276
ÑÑÏÎ·Ñ;20;3118;474;64;8;0;0;8522;120;12907;13464;2791;17063;224048;42450;29035;3598;3872;0;6473;11019;2376;5;1068;92;9;1,69;22718
Peter Gandalf;18;3884;891;222;49;12;5;16543;88;5731;18008;2737;6829;114816;39487;32937;7124;4748;16;3570;10086;1593;8;140;26;14;1,25;22542
Никита;31;4572;1344;401;148;45;42;17659;68;3914;10018;2452;4591;113896;31897;19042;894;3004;65;3353;10067;1827;13;0;0;0;2,16;21641
JsxfT-1;18;1767;151;11;2;0;0;9101;102;11395;25073;176;9566;193397;44355;48256;8522;7218;26;6914;11019;2101;5;7;14;197;0,83;20816
Heroldes;25;3565;826;192;54;13;9;14256;88;5887;13257;3283;8772;95023;35701;26150;2724;3795;17;2914;0;1882;8;388;11;20;1,56;20650
nameless tee;18;2455;380;71;19;4;2;12233;317;7801;26891;2920;21740;241667;49355;55283;7373;7822;0;6142;0;4780;8;34;0;12;0,76;20397
QQ;26;3354;768;179;48;16;6;13440;146;4809;14739;1989;8173;106213;38566;25009;1941;3087;13;3509;0;2846;9;71;116;29;1,26;18611
yolo;19;1995;274;29;5;2;0;6993;83;9800;11865;2160;20233;171670;36883;29845;4514;4887;47;5290;11019;3461;6;119;2;2;1,43;16999
Fate;38;2860;612;123;27;8;7;10631;85;5707;4832;2024;11449;80031;26572;14360;2944;1883;25;1736;0;1058;10;2;59;13;3,41;16497
